local_date_,Coordinate_Group_,Local_Time_Min,Max_Brightness,Mean_Brightness,Max_Confidence,Mean_Confidence,FRP,Day_Night,Time_Period,Total_Fire_Incidents,FRP_Bin
8/16/15,North-East,14:07:00,379.3,360.73333333333335,100,97,152.2,D,Afternoon,3,140-160
8/16/15,North-West,3:02:00,366.8,330.55510204081634,100,92.42857142857143,139.8,N,Night,49,120-140
8/16/15,South-East,3:04:00,421.7,357.4777777777778,100,95.55555555555556,382.4,D,Afternoon,9,380-400
8/17/15,Central-Central,22:37:00,331.7,322.68,100,96,107.5,N,Night,5,100-120
8/17/15,Central-East,2:07:00,444.6,342.8391304347826,100,93.26086956521739,3636.5,N,Night,23,3620-3640
8/17/15,North-Central,14:50:00,368.3,368.3,100,100,288.8,D,Afternoon,1,280-300
8/17/15,North-East,14:50:00,347.8,345.45000000000005,92,90,338.6,D,Afternoon,2,320-340
8/17/15,North-West,3:45:00,466,351.57954545454544,100,93.09090909,3606,D,Afternoon,44,3600-3620
8/17/15,South-East,11:35:00,339.5,339.5,81,81,16.3,D,Morning,1,0-20
8/18/15,Central-Central,12:17:00,481.1,374.6333333333333,100,97,2223.3,D,Afternoon,9,2220-2240
